0.39369, 2.93163, 2.94367, 0.11657, 0.11536, -0.81558, -0.18879, 0.56356, 0.44408, 1.91629, 2.66285
0.40035, 2.93009, 2.94053, 0.11961, 0.11844, -0.78982, -0.28319, 0.56628, 0.44936, 1.89185, 2.59384
0.40701, 2.92910, 2.94053, 0.12268, 0.12152, -0.76343, -0.18880, 0.56901, 0.45201, 1.86492, 2.63736
0.41366, 2.92850, 2.94053, 0.12576, 0.12459, -0.73653, -0.18880, 0.57162, 0.45730, 1.83874, 2.57740
0.42032, 2.92819, 2.94053, 0.12886, 0.12767, -0.70924, -0.09440, 0.57406, 0.46258, 1.81316, 2.51805
0.42698, 2.92810, 2.94053, 0.13199, 0.13084, -0.68165, -0.09440, 0.57650, 0.46523, 1.78752, 2.55942
0.43363, 2.92816, 2.94053, 0.13514, 0.13401, -0.65380, 0.00000, 0.57884, 0.46787, 1.75856, 2.49847
0.44029, 2.92834, 2.94053, 0.13831, 0.13717, -0.62568, 0.00000, 0.58100, 0.47051, 1.73416, 2.44208
0.44694, 2.92861, 2.94053, 0.14152, 0.14043, -0.59737, 0.00000, 0.58318, 0.47580, 1.70936, 2.47980
0.45360, 2.92894, 2.94053, 0.14476, 0.14368, -0.56887, 0.00000, 0.58527, 0.48109, 1.68487, 2.42434
0.46025, 2.92931, 2.94053, 0.14801, 0.14694, -0.54019, 0.00000, 0.58721, 0.48373, 1.66100, 2.36950
0.46691, 2.93058, 2.94367, 0.15127, 0.15019, -0.51132, 0.09440, 0.58914, 0.48637, -8.52831, -7.74528
0.47357, 2.93164, 2.94367, 0.15426, 0.15275, -0.35301, 0.09440, 0.54635, 0.46787, -8.02646, -7.27040
0.48022, 2.93403, 2.94681, 0.15712, 0.15582, -0.20165, 0.18880, 0.50666, 0.46258, -7.86858, -7.14506
